sentence_key	texte_expe	XP_type	item	type-de-phrase	audio_type	task_question_type	list	spk_sex	spk_id	OLDspk_id	num_syll	stim_num	wh-type	presence-eske	The Voice Contest	wh-in-situ-final	func-wh	OK_praat_seg	neg	texte	OK_Expe_perception	dossier-brat	orig_filename	nombre-de-mots	pos-wh	quality-wh	rheto-wh	subj-DP	subj-clit	subj-ce	nombre-subj	inverted-subj	comp	nombre-comp	lex-restr	partitif	est-ce-que	nombre_verbes	flexion-et	type-de-verbe-et	extraction-site	notes	partie-a-enlever	nombre-partie-a-enlever-mots	nombre-mots-a-enlever	dislocation-droite	attention-dernier-mot	fin-partie-enlever	locuteur	OLD_sentence_key	texte_turn_brut	spk_age	OLDOLD_sentence_key
001-XP_mbrola-is.it.decla-decla-clair-1-A-NO-5-G-M-WE2_A001_1952s875	je comprends bien ça	XP_mbrola	1	decla	clair	is.it.decla	A	M	G	ch_OB1	05	001	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	001-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça 	NOAGE	001-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875
002-XP_mbrola-is.it.decla-decla-delex-1-B-NO-5-G-M-WE2_A001_1952s875	je comprends bien ça	XP_mbrola	1	decla	delex	is.it.decla	B	M	G	ch_OB1	05	002	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	121-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça 	NOAGE	121-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875
003-XP_mbrola-is.it.question-decla-clair-1-C-NO-5-G-M-WE2_A001_1952s875	je comprends bien ça	XP_mbrola	1	decla	clair	is.it.question	C	M	G	ch_OB1	05	003	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	001-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça 	NOAGE	001-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875
004-XP_mbrola-is.it.question-decla-delex-1-D-NO-5-G-M-WE2_A001_1952s875	je comprends bien ça	XP_mbrola	1	decla	delex	is.it.question	D	M	G	ch_OB1	05	004	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	121-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça 	NOAGE	121-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875
005-XP_mbrola-is.it.decla-decla-clair-2-D-NO-6-O-F-WE2_A003_2972s210	j'aime bien les bords de loire	XP_mbrola	2	decla	clair	is.it.decla	D	F	O	KC3	06	005	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	027-de-CL-2-C-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de Loire 	NOAGE	027-de-CL-2-B-0-06-AW-F-WE2_A003_2972s210
006-XP_mbrola-is.it.decla-decla-delex-2-A-NO-6-O-F-WE2_A003_2972s210	j'aime bien les bords de loire	XP_mbrola	2	decla	delex	is.it.decla	A	F	O	KC3	06	006	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	147-de-DE-2-B-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de Loire 	NOAGE	147-de-DE-2-A-0-06-AW-F-WE2_A003_2972s210
007-XP_mbrola-is.it.question-decla-clair-2-B-NO-6-O-F-WE2_A003_2972s210	j'aime bien les bords de loire	XP_mbrola	2	decla	clair	is.it.question	B	F	O	KC3	06	007	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	027-de-CL-2-C-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de Loire 	NOAGE	027-de-CL-2-B-0-06-AW-F-WE2_A003_2972s210
008-XP_mbrola-is.it.question-decla-delex-2-C-NO-6-O-F-WE2_A003_2972s210	j'aime bien les bords de loire	XP_mbrola	2	decla	delex	is.it.question	C	F	O	KC3	06	008	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	147-de-DE-2-B-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de Loire 	NOAGE	147-de-DE-2-A-0-06-AW-F-WE2_A003_2972s210
009-XP_mbrola-is.it.decla-decla-clair-3-C-NO-10-O-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	XP_mbrola	3	decla	clair	is.it.decla	C	F	O	KC3	10	009	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	002-de-CL-3-B-0-10-AW-F-WE2_A003_4686s24	ouais j'ai entendu une espagnole aussi 	NOAGE	002-de-CL-3-C-0-10-AW-F-WE2_A003_4686s24
010-XP_mbrola-is.it.decla-decla-delex-3-D-NO-10-O-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	XP_mbrola	3	decla	delex	is.it.decla	D	F	O	KC3	10	010	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	122-de-DE-3-A-0-10-AW-F-WE2_A003_4686s24	ouais j'ai entendu une espagnole aussi 	NOAGE	122-de-DE-3-B-0-10-AW-F-WE2_A003_4686s24
011-XP_mbrola-is.it.question-decla-clair-3-A-NO-10-O-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	XP_mbrola	3	decla	clair	is.it.question	A	F	O	KC3	10	011	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	002-de-CL-3-B-0-10-AW-F-WE2_A003_4686s24	ouais j'ai entendu une espagnole aussi 	NOAGE	002-de-CL-3-C-0-10-AW-F-WE2_A003_4686s24
